TEAM,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Boston Celtics,15,3,0.833,48.3,108.9,39.4,83.6,47.1,14.6,40.3,36.1,15.6,19.3,81,9.4,33.2,42.6,23.7,11.6,6.1,5.6,15.7,7.5
Minnesota Timberwolves,12,8,0.6,48,106.1,38.7,82.9,46.7,11.8,32.7,36.1,16.9,23.2,72.6,11,32.1,43.1,21.3,12.7,6.4,5.5,19,1.9
Dallas Mavericks,13,8,0.619,48,106.8,39,83.3,46.9,12,32.9,36.3,16.8,23.1,72.4,11,32.4,43.5,21.3,12.5,6.4,5.3,18.9,3.6
Indiana Pacers,8,9,0.471,48.6,113.9,44.8,88.4,50.7,12.2,32.9,37.2,12.1,16.2,74.6,10.3,31.1,41.4,29.9,12,5.5,4.8,20.5,1.1
Oklahoma City Thunder,6,4,0.6,48,105.7,39.4,85.8,45.9,12.1,34,35.6,14.8,18.5,80,8.7,32.8,41.5,23.1,11.2,7.8,6.2,17.7,6.3
Denver Nuggets,7,5,0.583,48,102.2,38.9,85.2,45.7,10.5,31.6,33.2,13.8,16.7,83,9.9,32.6,42.5,24.9,12,6.4,4.3,18,-2.1
New York Knicks,7,6,0.538,48.4,109.9,39.8,87.8,45.3,11.9,31.8,37.5,18.5,24.4,75.7,13.5,29.4,42.8,22.5,11.2,5.7,5.4,17.8,-2.1
Orlando Magic,3,4,0.429,48,100.3,35.3,84,42,10.3,33.3,30.9,19.4,25.1,77.3,12,33,45,19.3,14.4,8,5.1,21.6,4.4
Cleveland Cavaliers,5,7,0.417,48,98.1,37.4,83.4,44.9,10.3,32.8,31.5,12.9,17,76,7.7,31.1,38.8,21.3,12.2,6.7,4.6,19.8,-5.6
LA Clippers,2,4,0.333,48,100.3,35.7,82.2,43.4,11.8,31.7,37.4,17.2,21.7,79.2,11.2,30.8,42,20.2,13.5,6.2,3.2,22.8,-6.7
Milwaukee Bucks,2,4,0.333,48.8,110.2,40.8,86.3,47.3,11.2,31.5,35.4,17.3,21.2,81.9,9.5,33.2,42.7,22.2,10.7,5.3,3.2,18.7,-2.8
Philadelphia 76ers,2,4,0.333,48.8,108.2,37,83.3,44.4,13.5,35.7,37.9,20.7,24.7,83.8,10.7,30.5,41.2,23,11.8,5.5,6.3,21.5,-0.2
Los Angeles Lakers,1,4,0.2,48,106.4,41.6,84.6,49.2,8.8,29.4,29.9,14.4,18.8,76.6,7.4,33.2,40.6,24.4,11,6,4,16.6,-2.2
Miami Heat,1,4,0.2,48,92.2,35.6,81.2,43.8,11.2,34,32.9,9.8,12,81.7,5.6,30.6,36.2,21.2,11.6,4.6,1.4,16.8,-15.6
New Orleans Pelicans,0,4,0,48,89.5,33.5,84.5,39.6,8.8,32.8,26.7,13.8,16,85.9,12.3,33.3,45.5,19.5,18,8.8,4.5,20,-15.8
Phoenix Suns,0,4,0,48,103.3,35.3,75.8,46.5,9.5,26,36.5,23.3,28,83,7.3,25.3,32.5,19.8,14.3,7.5,4.3,23.3,-15
