Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,Dallas,30.1,30,32,36.8,23.3,26.8
2,San Francisco,28.6,26.7,22,27.6,29.5,25.9
3,Miami,27.9,13.3,7,31.9,24,23.8
4,Baltimore,27.7,18,10,30.1,24.5,20.4
5,Detroit,27.4,28.7,31,29.9,24.8,26.6
6,Buffalo,26.6,25.3,24,29.1,23.9,27.7
7,Philadelphia,24.6,16.7,9,30.9,19.5,29.1
8,Green Bay,23.8,28.7,21,19.4,27,21.8
9,LA Rams,23.7,23.3,23,23.9,23.6,18.1
10,New Orleans,23.6,31,48,25.1,22.3,19.4
11,Indianapolis,23.3,17.3,19,25.7,20.6,17
12,Cleveland,22.8,21.7,14,22.3,23.2,21.2
13,Houston,22.7,26,10,26.6,18.4,17
14,Kansas City,22.2,23,25,23.3,21.3,29.2
15,Jacksonville,22.2,19.3,20,20.5,23.7,23.9
16,Cincinnati,21.5,19.7,31,23.7,19.1,25.7
17,Seattle,21.4,21.3,21,22.4,20.6,23.9
18,Tampa Bay,21.2,21.3,23,19.2,23,18.2
19,Chicago,21.2,24.3,9,24.9,17.9,19.2
20,Denver,21,17.7,14,22.4,19.4,16.9
21,LA Chargers,20.4,14.3,12,21.6,19,23.4
22,Minnesota,20.2,18,20,19.3,21.1,24.9
23,Las Vegas,19.5,22.3,27,23.2,15.4,23.2
24,Arizona,19.4,23.7,20,23.5,15.8,20
25,Washington,19.4,16,10,16,22.3,18.9
26,Atlanta,18.9,21,17,24,14.3,21.5
27,Tennessee,17.9,16,28,23.5,13,17.5
28,Pittsburgh,17.8,21.3,17,18.3,17.3,18.1
29,NY Jets,15.8,22.3,17,17.7,13.6,17.4
30,NY Giants,15.6,25.7,27,14.1,17,21.2
31,New England,13.9,16.7,3,12.9,14.8,21.4
31,Carolina,13.9,10,0,13.4,14.3,20.4
